planner,domain,problem,runtime,solved,quality
gnnplanner,gripper,b10,7.07,False,n/a
gnnplanner,gripper,b100,17.2,False,n/a
gnnplanner,gripper,b150,24.15,False,n/a
gnnplanner,gripper,b20,8.09,False,n/a
gnnplanner,gripper,b200,32.29,False,n/a
gnnplanner,gripper,b30,9.16,False,n/a
gnnplanner,gripper,b40,9.95,False,n/a
gnnplanner,gripper,b50,11.44,False,n/a
gnnplanner,gripper,b60,12.46,False,n/a
gnnplanner,gripper,b70,13.2,False,n/a
gnnplanner,gripper,b80,14.79,False,n/a
gnnplanner,gripper,b90,15.92,False,n/a
