planner,domain,problem,runtime,solved,quality
gnnplanner,gripper,p10,23.13,False,n/a
gnnplanner,gripper,p11,82.2,False,n/a
gnnplanner,gripper,p12,15.14,False,n/a
gnnplanner,gripper,p13,21.96,False,n/a
gnnplanner,gripper,p14,87.08,False,n/a
gnnplanner,gripper,p15,18.6,False,n/a
gnnplanner,gripper,p16,29.83,False,n/a
gnnplanner,gripper,p17,81.9,False,n/a
gnnplanner,gripper,p18,9.19,False,n/a
gnnplanner,gripper,p19,10.99,False,n/a
gnnplanner,gripper,p20,32.17,False,n/a
gnnplanner,gripper,p21,100.85,False,n/a
gnnplanner,gripper,p22,9.64,False,n/a
gnnplanner,gripper,p23,11.2,False,n/a
gnnplanner,gripper,p24,53.87,False,n/a
gnnplanner,gripper,p25,93.75,False,n/a
gnnplanner,gripper,p26,10.55,False,n/a
gnnplanner,gripper,p27,10.79,False,n/a
gnnplanner,gripper,p28,15.57,False,n/a
gnnplanner,gripper,p29,107.44,False,n/a
gnnplanner,gripper,p30,12.59,False,n/a
gnnplanner,gripper,p31,11.98,False,n/a
gnnplanner,gripper,p32,16.33,False,n/a
gnnplanner,gripper,p33,193.45,False,n/a
gnnplanner,gripper,p8,17.3,False,n/a
gnnplanner,gripper,p9,15.8,False,n/a
