planner,domain,problem,runtime,solved,quality
gnnplanner,gripper,r10,9.77,False,n/a
gnnplanner,gripper,r11,11.63,False,n/a
gnnplanner,gripper,r12,10.16,False,n/a
gnnplanner,gripper,r13,10.1,False,n/a
gnnplanner,gripper,r14,10.53,False,n/a
gnnplanner,gripper,r15,12.06,False,n/a
gnnplanner,gripper,r16,13.26,False,n/a
gnnplanner,gripper,r17,15.02,False,n/a
gnnplanner,gripper,r18,13.56,False,n/a
gnnplanner,gripper,r19,13.22,False,n/a
gnnplanner,gripper,r2,8.11,False,n/a
gnnplanner,gripper,r20,17.79,False,n/a
gnnplanner,gripper,r21,15.37,False,n/a
gnnplanner,gripper,r3,7.86,False,n/a
gnnplanner,gripper,r4,8.01,False,n/a
gnnplanner,gripper,r5,8.02,False,n/a
gnnplanner,gripper,r6,8.61,False,n/a
gnnplanner,gripper,r7,9.23,False,n/a
gnnplanner,gripper,r8,9.65,False,n/a
gnnplanner,gripper,r9,10.02,False,n/a
