planner,domain,problem,runtime,solved,quality
gnnplanner,sailing,d10,7.0,False,n/a
gnnplanner,sailing,d100,10.13,False,n/a
gnnplanner,sailing,d1000,350.0,False,n/a
gnnplanner,sailing,d150,11.22,False,n/a
gnnplanner,sailing,d20,7.27,False,n/a
gnnplanner,sailing,d200,13.06,False,n/a
gnnplanner,sailing,d250,12.79,False,n/a
gnnplanner,sailing,d300,16.12,False,n/a
gnnplanner,sailing,d350,17.82,False,n/a
gnnplanner,sailing,d370,19.76,False,n/a
gnnplanner,sailing,d400,19.95,False,n/a
gnnplanner,sailing,d450,20.84,False,n/a
gnnplanner,sailing,d50,8.02,False,n/a
gnnplanner,sailing,d500,21.93,False,n/a
gnnplanner,sailing,d600,25.32,False,n/a
gnnplanner,sailing,d700,28.35,False,n/a
gnnplanner,sailing,d800,31.82,False,n/a
gnnplanner,sailing,d900,34.76,False,n/a
gnnplanner,sailing,nd370,350.0,False,n/a
